game_title,release_year,represent_me_url,representation_tags,review_reason
Call of Duty series,2003 – 2017,https://representme.charity/projects/queer/database/title/call-of-duty,Lesbian; Other,aggregate_page_requires_game_version
Camp Ravenrock,2017,https://representme.charity/projects/queer/database/title/camp-ravenrock,Lesbian; Other; Asexual / aromantic,no_explicit_named_character_pattern
can you say my name again,2017,https://representme.charity/projects/queer/database/title/can-you-say-my-name-again,Lesbian; Trans woman,no_explicit_named_character_pattern
Candice the Anglerfish,2019,https://representme.charity/projects/queer/database/title/candice-the-anglerfish,Asexual / aromantic; Bisexual / plurisexual; Lesbian,no_explicit_named_character_pattern
Caper in the Castro,1989,https://representme.charity/projects/queer/database/title/caper-in-the-castro,Lesbian; Cross-dressing; Gay; Nonbinary / non-conforming,no_explicit_named_character_pattern
Caramel Mokaccino,Not yet released,https://representme.charity/projects/queer/database/title/caramel-mokaccino,Bisexual / plurisexual; Other,no_explicit_named_character_pattern
Card City Nights,2014,https://representme.charity/projects/queer/database/title/card-city-nights,Playersexual,no_explicit_named_character_pattern
Cardinal Cross,2018,https://representme.charity/projects/queer/database/title/cardinal-cross,Bisexual / plurisexual; Gay; Lesbian,no_explicit_named_character_pattern
Carmilla - Make your destiny,2015,https://representme.charity/projects/queer/database/title/carmilla-make-your-destiny,Lesbian; Nonbinary / non-conforming,no_explicit_named_character_pattern
Castaway! Love's Adventure,2016,https://representme.charity/projects/queer/database/title/castaway-loves-adventure,Bisexual / plurisexual; Lesbian,no_explicit_named_character_pattern
Cat Girl,2017,https://representme.charity/projects/queer/database/title/cat-girl,Lesbian,no_explicit_named_character_pattern
Catch Canvas,2016,https://representme.charity/projects/queer/database/title/catch-canvas,Lesbian,no_explicit_named_character_pattern
Catherine,2011,https://representme.charity/projects/queer/database/title/catherine,Bisexual / plurisexual; Trans woman; Cross dressing; Gay,no_explicit_named_character_pattern
Cathy's Cafe,2016,https://representme.charity/projects/queer/database/title/cathy-s-cafe,Other,no_explicit_named_character_pattern
Cattails,2017,https://representme.charity/projects/queer/database/title/cattails,Nonbinary / non-conforming; Other,no_explicit_named_character_pattern
Celestial Bond: Chapter 0,2018,https://representme.charity/projects/queer/database/title/celestial-bond-chapter-,Lesbian,no_explicit_named_character_pattern
Central Casting: Heroes Now!,1991,https://representme.charity/projects/queer/database/title/central-casting-heroes-now-,Asexual / aromantic; Bisexual / plurisexual; Gay; Lesbian; Trans man; Trans woman,no_explicit_named_character_pattern
Ceress and Orea,2018,https://representme.charity/projects/queer/database/title/ceress-and-orea,Lesbian; Nonbinary / non-conforming,no_explicit_named_character_pattern
Cerulean Heart,2017,https://representme.charity/projects/queer/database/title/cerulean-heart,Gay,no_explicit_named_character_pattern
Changeling: The Dreaming,1995,https://representme.charity/projects/queer/database/title/changeling-the-dreaming,Other,no_explicit_named_character_pattern
Changing,2018,https://representme.charity/projects/queer/database/title/changing,Gay; Trans man,no_explicit_named_character_pattern
Chaotic Quartet,2018,https://representme.charity/projects/queer/database/title/chaotic-quartet,Lesbian,no_explicit_named_character_pattern
Charles 2.0,2019,https://representme.charity/projects/queer/database/title/charles-,Gay; Polyamory,no_explicit_named_character_pattern
Charming Monsters,2016,https://representme.charity/projects/queer/database/title/charming-monsters,Bisexual / plurisexual; Gay,no_explicit_named_character_pattern
Chasing the Stars,2019,https://representme.charity/projects/queer/database/title/chasing-the-stars,Gay,no_explicit_named_character_pattern
Chef's Quest,2016,https://representme.charity/projects/queer/database/title/chefs-quest,Gay; Lesbian,no_explicit_named_character_pattern
