character_id,character_name,game_title,release_year,developer,publisher,game_scale,genre,narrative_role,playable_status,gender,sexuality,identity_category,identity_confirmation,queer_status,intersectionality_present,intersectionality_details,evidence_source,notes,character_image,image_credit,image_source_url,source_language,discovery_source,research_status,evidence_confidence,platform_version,last_reviewed,content_availability
416,Kara,I Miss the Sunrise,2010,Deltree,Deltree,,RPG,unknown,unknown,not_recorded,bisexual,sexual_orientation,ambiguous,ambiguous,,,https://representme.charity/projects/queer/database/title/i-miss-the-sunrise,"Represent Me discusses Kara in connection with bisexual, but its wording is interpretive or uncertain. Imported as ambiguous and queued for curator review.",,,,en,Represent Me,needs_verification,low,PC (free),2026-08-26,not_recorded
417,Nadia,Known Unknowns,2017,Brendan Patrick Hennessey,Brendan Patrick Hennessey,,Interactive fiction,protagonist,unknown,not_recorded,bisexual,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/known-unknowns,Represent Me explicitly associates Nadia with bisexual in its entry for Known Unknowns. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
418,Kaz,Known Unknowns,2017,Brendan Patrick Hennessey,Brendan Patrick Hennessey,,Interactive fiction,unknown,unknown,non_binary,not_recorded,gender_identity,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/known-unknowns,Represent Me explicitly associates Kaz with nonbinary in its entry for Known Unknowns. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
419,Anya,Known Unknowns,2017,Brendan Patrick Hennessey,Brendan Patrick Hennessey,,Interactive fiction,unknown,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/known-unknowns,Represent Me explicitly associates Anya with lesbian in its entry for Known Unknowns. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
420,Asher,Latte Gay,2018,HuffleDuck,HuffleDuck,,Visual novel,unknown,unknown,not_recorded,gay,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/latte-gay,Represent Me explicitly associates Asher with gay in its entry for Latte Gay. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
421,Corin,Leave You Behind,2015,PIZZAPRANKS,PIZZAPRANKS,,Visual novel,protagonist,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/leave-you-behind,Represent Me explicitly associates Corin with lesbian in its entry for Leave You Behind. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
422,Rhea,Lonely Bullet,2018,Chumpette Visual,Chumpette Visual,,Action,protagonist,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/lonely-bullet,Represent Me explicitly associates Rhea with lesbian in its entry for Lonely Bullet. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
423,Shunichi Inagaki,Lux-Pain,2008,Killaware,Marvelous Entertainment,,Visual novel,unknown,unknown,not_recorded,gay,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/lux-pain,Represent Me explicitly associates Shunichi Inagaki with gay in its entry for Lux-Pain. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,Nintendo DS,2026-08-26,not_recorded
424,Nicki Burke,Mafia III,2016,Hangar 13,2K Games,,Shooter,unknown,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/mafia-iii,Represent Me explicitly associates Nicki Burke with lesbian in its entry for Mafia III. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,"PC, PlayStation 4, Xbox One",2026-08-26,not_recorded
425,Tony Derazio,Mafia III,2016,Hangar 13,2K Games,,Shooter,unknown,unknown,not_recorded,gay,sexual_orientation,ambiguous,ambiguous,,,https://representme.charity/projects/queer/database/title/mafia-iii,"Represent Me discusses Tony Derazio in connection with gay, but its wording is interpretive or uncertain. Imported as ambiguous and queued for curator review.",,,,en,Represent Me,needs_verification,low,"PC, PlayStation 4, Xbox One",2026-08-26,not_recorded
426,Roxanne,Mission: It's Complicated,2020,Schell Games,Schell Games,,Simulation,unknown,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/mission-it-s-complicated,Represent Me explicitly associates Roxanne with lesbian in its entry for Mission: It's Complicated. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
427,Cody (Riptide),Mission: It's Complicated,2020,Schell Games,Schell Games,,Simulation,unknown,unknown,trans_man,gay,gender_identity; sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/mission-it-s-complicated,Represent Me explicitly associates Cody (Riptide) with gay; trans man in its entry for Mission: It's Complicated. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
428,Nicole (Wifi),Mission: It's Complicated,2020,Schell Games,Schell Games,,Simulation,unknown,unknown,woman,bisexual,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/mission-it-s-complicated,Represent Me explicitly associates Nicole (Wifi) with bisexual in its entry for Mission: It's Complicated. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
429,Zael,Mission: It's Complicated,2020,Schell Games,Schell Games,,Simulation,unknown,unknown,non_binary,pansexual,gender_identity; sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/mission-it-s-complicated,Represent Me explicitly associates Zael with pansexual; nonbinary in its entry for Mission: It's Complicated. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
430,Sam (Nightgaunt),Mission: It's Complicated,2020,Schell Games,Schell Games,,Simulation,unknown,unknown,man,bisexual,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/mission-it-s-complicated,Represent Me explicitly associates Sam (Nightgaunt) with bisexual in its entry for Mission: It's Complicated. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
431,KC,Murder by Numbers,2020,Mediatonic,The Irregular Corporation,,Adventure,protagonist,unknown,man,gay,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/murder-by-numbers,Represent Me explicitly associates KC with gay in its entry for Murder by Numbers. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,"PC , Nintendo Switch",2026-08-26,not_recorded
432,Andie Graham,Mush,2013,Motion Twin,Motion Twin,,RPG,unknown,unknown,non_binary,not_recorded,gender_identity,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/mush,Represent Me explicitly associates Andie Graham with nonbinary in its entry for Mush. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
433,Susan,Nanh Heroes/GO EX,2019,Atma Weapon,Atma Weapon,,Simulation,unknown,unknown,not_recorded,bisexual,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/nanh-heroes-go-ex,Represent Me explicitly associates Susan with bisexual in its entry for Nanh Heroes/GO EX. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free or donation),2026-08-26,not_recorded
434,Siofra,Nanh Heroes/GO EX,2019,Atma Weapon,Atma Weapon,,Simulation,protagonist,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/nanh-heroes-go-ex,Represent Me explicitly associates Siofra with lesbian in its entry for Nanh Heroes/GO EX. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free or donation),2026-08-26,not_recorded
