reason,reference_label,parent_game_titles,parent_release_years,reference_page_title,category_names,reference_url
no_explicit_or_implicit_identity_category,Abigail and Queer Game/Narrative,Abigail,2005,Abigail and Queer Game/Narrative,2000s; Queer Game/Narrative; Queer Women,https://lgbtqgamearchive.com/2016/08/29/abigail-and-queer-gamenarrative
group_or_non_character_subject,Women-on-women make outs,Playboy: the Mansion,2005,Women-on-Women Make Outs in Playboy: The Mansion,2000s; Actions; Bisexual; Bisexual (explicit); Lesbian; Lesbian (explicit); Queer Women,https://lgbtqgamearchive.com/2015/11/12/women-on-women-make-outs-in-playboy-the-mansion
no_explicit_or_implicit_identity_category,Amaterasu,Ōkami,2006,Amaterasu in Ōkami,2000s; Agender; Characters; Playable Character,https://lgbtqgamearchive.com/2016/05/25/amaterasu-in-okami
group_or_non_character_subject,Brute Splicers,BioShock; Bioshock 2; Bioshock: Infinite; Bioshock: Infinite- Burial at Sea Episode 1,2007; 2010; 2013; 2013,Brute Splicers in BioShock 2,2010s; Characters; Gay; Gay (implicit); Homophobia; Homophobia/Transphobia; Queer Men,https://lgbtqgamearchive.com/2015/11/24/brute-splicers
group_or_non_character_subject,Guard NPC,BioShock; Bioshock 2; Bioshock: Infinite; Bioshock: Infinite- Burial at Sea Episode 1,2007; 2010; 2013; 2013,Guard NPC in BioShock Infinite,2010s; Characters; Gay; Gay (implicit); Queer Men,https://lgbtqgamearchive.com/2016/06/25/guard-npc-in-bioshock-infinite
group_or_non_character_subject,Other NPCs with possible LGBTQ references,Mass Effect; Mass Effect 2; Mass Effect 3; Mass Effect: Andromeda,2007; 2010; 2012; 2017,Other NPC’s with possible LGBTQ reference in Mass Effect,2010s; Gay; Gay (implicit); Lesbian; Lesbian (implicit); Mentions; Mentions (implicit); Queer Men; Queer Women,https://lgbtqgamearchive.com/2015/10/30/other-npcs-with-possible-lgbtq-reference
group_or_non_character_subject,The Asari,Mass Effect; Mass Effect 2; Mass Effect 3; Mass Effect: Andromeda,2007; 2010; 2012; 2017,Asari in Mass Effect Series,2000s; 2010s; Non-binary or genderqueer; Non-binary or Genderqueer (explicit),https://lgbtqgamearchive.com/2015/10/30/asari
group_or_non_character_subject,Unnamed Gay Couple,BioShock; Bioshock 2; Bioshock: Infinite; Bioshock: Infinite- Burial at Sea Episode 1,2007; 2010; 2013; 2013,Unnamed Gay Couple in BioShock Infinite: Burial at Sea Episode 1,2010s; Characters; Gay; Gay (implicit); Queer Men,https://lgbtqgamearchive.com/2015/11/24/unnamed-gay-couple-in-bioshock-infinite-burial-at-sea-episode-1
group_or_non_character_subject,Marth and his dates,A Smashing Day Out,2009,Marth and his dates in A Smashing Day Out,2000s; Characters; Gay; Gay (explicit); Optional Relationship; Queer Men; Relationships/Romance/Sex,https://lgbtqgamearchive.com/2016/07/18/marth-and-his-dates-in-a-smashing-day-out
no_explicit_or_implicit_identity_category,Chihiro,Danganronpa: Trigger Happy Havoc; Danganronpa 2: Goodbye Despair; Danganronpa Another Episode: Ultra Despair Girls; Danganronpa V3: Killing Harmony,2010; 2012; 2014; 2017,Chihiro in Danganronpa: Trigger Happy Havoc,2010s; Characters; Games by Decade; Gender non-conforming; Homophobia/Transphobia; Mentions; Mentions (implicit); Transphobia,https://lgbtqgamearchive.com/?p=10358
